hospital,hhsname,hospital_id,lat,long,total_beds,total_occupancy,total_load,icu_beds,icu_occupancy,icu_load
MedStar Georgetown University Hospital,MEDSTAR GEORGETOWN UNIVERSITY HOSPITAL,090004,38.9121118,-77.07523669999999,348.7,331.6,0.9509607112130772,65.7,59.6,0.9071537290715372
MedStar Good Samaritan Hospital,MEDSTAR GOOD SAMARITAN HOSPITAL,210056,39.3579963,-76.5871105,171.7,145.9,0.8497379149679675,13.3,11.0,0.8270676691729323
MedStar Harbor Hospital,MEDSTAR HARBOR HOSPITAL,210034,39.2521066,-76.614284,155.6,109.6,0.7043701799485861,22.1,16.9,0.764705882352941
MedStar Montgomery Medical Center,MEDSTAR MONTGOMERY MEDICAL CENTER,210018,39.1540614,-77.0547374,107.4,96.0,0.8938547486033519,9.1,7.7,0.8461538461538463
MedStar Saint Mary’s Hospital,MEDSTAR SAINT MARY'S HOSPITAL,210028,38.3020953,-76.6382144,87.7,93.9,1.0706955530216649,6.3,5.9,0.9365079365079366
MedStar Southern Maryland Hospital Center,MEDSTAR SOUTHERN MARYLAND HOSPITAL CENTER,210062,38.7482634,-76.8757571,216.6,147.4,0.6805170821791321,24.3,10.7,0.4403292181069958
MedStar Union Memorial Hospital,MEDSTAR UNION MEMORIAL HOSPITAL,210024,39.329267,-76.614289,179.3,147.3,0.8215281650864473,25.4,20.3,0.7992125984251969
MedStar Washington Hospital Center,MEDSTAR WASHINGTON HOSPITAL CENTER,090011,38.9288308,-77.0139841,752.7,685.1,0.9101899827288428,114.1,95.7,0.8387379491673971
Meeker Memorial Hospital,MEEKER MEMORIAL HOSPITAL,241366,45.1193552,-94.5289583,16.0,8.7,0.54375,0.0,0.0,0.0
Melissa Memorial Hospital,MELISSA MEMORIAL HOSPITAL,061305,40.5792605,-102.2902942,15.0,4.1,0.2733333333333333,0.0,0.0,0.0
MelroseWakefield Healthcare,MELROSEWAKEFIELD HEALTHCARE,220070,42.4604103,-71.0610124,150.1,130.1,0.8667554963357762,10.0,7.3,0.73
MemorialCare Long Beach Medical Center,MEMORIACARE LONG BEACH MEDICAL CENTER,05T485,33.8083605,-118.1873236,42.0,18.0,0.42857142857142855,0.0,0.0,0.0
MemorialCare Miller Children’s & Women’s Hospital Long Beach,MEMORIAL CARE MILLER CHILDREN'S &  WOMEN'S HOSP LB,053309,33.8083605,-118.1873236,94.0,38.0,0.40425531914893614,0.0,0.0,0.0
Memorial Community Hospital Mch & Health System,MEMORIAL COMMUNITY HOSPITAL & HEALTH SYSTEM,281359,41.5516228,-96.1444142,10.0,4.0,0.4,0.0,0.0,0.0
Meadows Regional Medical Center,MEMORIAL HEALTH MEADOWS HOSPITAL,110128,32.2071314,-82.377752,72.5,50.3,0.6937931034482758,8.0,6.7,0.8375
Memorial Health University Medical Center,MEMORIAL HEALTH UNIVERSITY MEDICAL CENTER,110036,32.030295,-81.088798,538.0,504.0,0.9368029739776952,96.0,86.0,0.8958333333333334
Memorial Healthcare,MEMORIAL HEALTHCARE,230121,43.0054317,-84.1814947,80.0,53.1,0.6637500000000001,7.0,7.1,1.0142857142857142
"Memorial Healthcare System, Inc.","MEMORIAL HEALTHCARE SYSTEM, INC",440091,35.0410165,-85.2605241,556.0,362.1,0.6512589928057554,124.0,55.3,0.44596774193548383
Memorial Hermann Hospital System,MEMORIAL HERMANN HOSPITAL SYSTEM,450184,29.8115414,-95.430426,1238.4,1140.1,0.9206233850129197,162.4,150.7,0.9279556650246304
Memorial Hermann Katy Hospital,MEMORIAL HERMANN KATY HOSPITAL,450847,29.7874335,-95.7863342,214.9,188.6,0.8776174965100046,19.1,17.0,0.8900523560209423
Memorial Hermann Memorial City Medical Center,MEMORIAL HERMANN MEMORIAL CITY MEDICAL CENTER,450610,29.781313,-95.546905,296.0,287.3,0.9706081081081082,62.7,62.0,0.9888357256778308
Memorial Hermann Northeast Hospital,MEMORIAL HERMANN NORTHEAST HOSPITAL,450684,29.99564659999999,-95.2760788,249.9,240.0,0.9603841536614646,15.4,15.0,0.974025974025974
Memorial Hermann Sugar Land Hospital,MEMORIAL HERMANN SUGAR LAND HOSPITAL,450848,29.564602,-95.69025789999999,183.9,158.9,0.8640565524741708,13.7,12.1,0.8832116788321168
Memorial Hermann Surgical Hospital Kingwood,MEMORIAL HERMANN SURGICAL HOSPITAL KINGWOOD,670005,30.0477861,-95.25862169999999,10.0,4.0,0.4,0.0,0.0,0.0
Memorial Hermann Texas Medical Center,MEMORIAL HERMANN TEXAS MEDICAL CENTER,450068,29.7141998,-95.39654689999999,968.9,945.3,0.9756424811642068,165.9,163.9,0.9879445449065702
Memorial Hospital,MEMORIAL HOSPITAL,140185,38.5503106,-90.02141089999999,230.7,190.0,0.82358040745557,26.0,18.1,0.6961538461538462
Memorial Hospital,MEMORIAL HOSPITAL,141305,40.4093235,-91.1113417,18.0,10.9,0.6055555555555556,0.0,0.0,0.0
Memorial Hospital,MEMORIAL HOSPITAL,141338,37.9178338,-89.8126671,23.0,8.1,0.3521739130434782,0.0,0.0,0.0
Memorial Hospital,MEMORIAL HOSPITAL,150072,40.7631713,-86.3623863,28.6,15.3,0.534965034965035,5.0,4.1,0.82
Memorial Hospital,MEMORIAL HOSPITAL,171381,38.9253608,-97.2058861,18.0,12.0,0.6666666666666666,0.0,0.0,0.0
Memorial Hospital,MEMORIAL HOSPITAL,281320,40.8712984,-98.0106417,6.3,5.9,0.9365079365079366,0.0,0.0,0.0
Memorial Hospital,MEMORIAL HOSPITAL,281339,40.9100358,-97.0914681,24.0,15.1,0.6291666666666667,0.0,0.0,0.0
Memorial Hospital,MEMORIAL HOSPITAL,360092,40.2306914,-83.3690299,35.0,33.4,0.9542857142857143,11.0,10.1,0.9181818181818181
Memorial Hospital,MEMORIAL HOSPITAL,360156,41.3395073,-83.1349326,19.0,14.6,0.7684210526315789,0.0,0.0,0.0
Memorial Hospital,MEMORIAL HOSPITAL,370178,35.8099005,-94.64303729999999,49.0,8.9,0.1816326530612245,0.0,0.0,0.0
Memorial Hospital,MEMORIAL HOSPITAL,450235,29.5171506,-97.43163559999999,17.9,5.6,0.3128491620111732,0.0,0.0,0.0
Memorial Hospital,MEMORIAL HOSPITAL,451358,32.7218479,-102.6549052,20.0,20.0,1.0,0.0,0.0,0.0
Memorial Hospital,MEMORIAL HOSPITAL,451386,35.8645507,-101.9706511,14.7,9.7,0.6598639455782312,0.0,0.0,0.0
Memorial Hospital and Health Care Center,MEMORIAL HOSPITAL AND HEALTH CARE CENTER,150115,38.3959788,-86.94011069999999,108.0,59.1,0.5472222222222223,26.0,11.3,0.4346153846153846
Memorial Hospital and Manor,MEMORIAL HOSPITAL AND MANOR,110132,30.9029491,-84.5520303,31.0,20.6,0.6645161290322581,6.0,4.0,0.6666666666666666
Memorial Hospital at Gulfport,MEMORIAL HOSPITAL AT GULFPORT,250019,30.36725899999999,-89.1153422,206.0,208.9,1.0140776699029126,25.1,23.3,0.9282868525896414
Memorial Hospital for Cancer and Allied Diseases,MEMORIAL HOSPITAL FOR CANCER AND ALLIED DISEASES,330154,40.7642154,-73.95610359999999,476.0,459.1,0.9644957983193277,20.0,19.9,0.9949999999999999
Memorial Hospital Jacksonville,MEMORIAL HOSPITAL JACKSONVILLE,100179,30.2878745,-81.60123949999999,429.0,304.1,0.7088578088578089,42.0,35.1,0.8357142857142857
Memorial Hospital Los Banos,MEMORIAL HOSPITAL LOS BANOS,050528,37.0640934,-120.8591356,41.0,23.1,0.5634146341463415,4.0,5.9,1.475
Memorial Hospital Miramar,MEMORIAL HOSPITAL MIRAMAR,100285,25.9909479,-80.3733282,123.1,123.1,1.0,10.9,10.9,1.0
Memorial Hospital of Carbon County,MEMORIAL HOSPITAL OF CARBON COUNTY,531316,41.7869238,-107.2617788,25.0,10.0,0.4,4.3,4.6,1.069767441860465
Memorial Hospital of Carbondale,MEMORIAL HOSPITAL OF CARBONDALE,140164,37.7277551,-89.2202884,176.0,121.1,0.6880681818181817,21.0,15.1,0.719047619047619
Memorial Hospital of Converse County,MEMORIAL HOSPITAL OF CONVERSE COUNTY,531302,42.758913,-105.3807271,23.0,10.0,0.43478260869565216,0.0,0.0,0.0
Memorial Hospital of Gardena,MEMORIAL HOSPITAL OF GARDENA,050468,33.8929929,-118.2950049,177.1,141.7,0.8001129305477132,15.1,15.1,1.0
Memorial Hospital of Lafayette County,MEMORIAL HOSPITAL OF LAFAYETTE COUNTY,521312,42.6837494,-90.1104491,19.1,5.0,0.2617801047120419,0.0,0.0,0.0
Memorial Hospital of South Bend,MEMORIAL HOSPITAL OF SOUTH BEND,150058,41.68369089999999,-86.2519755,254.0,218.0,0.8582677165354331,24.0,19.0,0.7916666666666666
Memorial Hospital of Texas County Authority,MEMORIAL HOSPITAL OF TEXAS COUNTY AUTHORITY,371340,36.6912257,-101.4757109,7.0,4.7,0.6714285714285715,0.0,0.0,0.0
Memorial Hospital Pembroke,MEMORIAL HOSPITAL PEMBROKE,100230,26.0296956,-80.24554909999999,158.0,150.3,0.9512658227848102,16.6,14.1,0.8493975903614457
Memorial Hospital Sweetwater County,MEMORIAL HOSPITAL SWEETWATER COUNTY,530011,41.5847931,-109.2357623,51.0,16.1,0.31568627450980397,10.0,4.6,0.45999999999999996
Memorial Hospital West,MEMORIAL HOSPITAL WEST,100281,26.0133725,-80.31199889999999,402.4,373.4,0.9279324055666004,28.9,28.0,0.9688581314878894
The Memorial Hospital,"MEMORIAL HOSPITAL, THE",061314,40.5186546,-107.5802156,25.0,5.9,0.23600000000000002,4.0,0.0,0.0
The Memorial Hospital,"MEMORIAL HOSPITAL, THE",301307,44.0616236,-71.1370883,34.0,11.1,0.3264705882352941,0.0,0.0,0.0
Memorial Medical Center,MEMORIAL MEDICAL CENTER,050557,37.6686472,-120.9746362,386.0,315.9,0.8183937823834196,41.0,36.4,0.8878048780487805
Memorial Medical Center,MEMORIAL MEDICAL CENTER,140148,39.8099694,-89.6567571,513.0,362.3,0.7062378167641326,65.0,43.9,0.6753846153846154
Memorial Medical Center,MEMORIAL MEDICAL CENTER,320018,32.2913979,-106.7371384,138.2,105.3,0.7619392185238785,25.7,24.3,0.9455252918287939
Memorial Medical Center,MEMORIAL MEDICAL CENTER,451356,28.6196057,-96.63112,30.7,13.9,0.45276872964169385,6.0,4.0,0.6666666666666666
Memorial Medical Center,MEMORIAL MEDICAL CENTER,521359,46.5686622,-90.8883105,25.0,15.7,0.628,4.0,0.0,0.0
Memorial Mission Hospital and Asheville Surgery Center,MEMORIAL MISSION HOSPITAL AND ASHEVILLE SURGERY CE,340002,35.576583,-82.54922200000001,787.0,676.3,0.8593392630241422,79.0,65.9,0.8341772151898735
Memorial Regional Hospital,MEMORIAL REGIONAL HOSPITAL,100038,26.0195318,-80.179802,712.1,487.0,0.6838927116977952,89.0,61.6,0.6921348314606742
Memorial Satilla Health,MEMORIAL SATILLA HEALTH,110003,31.2249049,-82.3477321,126.0,101.7,0.8071428571428572,13.6,13.6,1.0
MemorialCare Orange Coast Medical Center,MEMORIALCARE ORANGE COAST MEDICAL CENTER,050678,33.7003907,-117.9556226,235.9,158.6,0.672318779143705,30.0,29.6,0.9866666666666667
Saddleback Medical Center,MEMORIALCARE SADDLEBACK MEDICAL CENTER,050603,33.6093252,-117.7089298,231.6,146.7,0.6334196891191709,25.6,23.1,0.90234375
Mena Regional Health System,MENA REGIONAL HEALTH SYSTEM,040015,34.5890204,-94.2214819,22.0,18.7,0.85,4.3,4.6,1.069767441860465
Menifee Global Medical Center,MENIFEE GLOBAL MEDICAL CENTER,050684,33.7198922,-117.1675887,84.0,42.2,0.5023809523809524,20.0,7.2,0.36
Mennonite General Hospital Inc.,MENNONITE GENERAL HOSPITAL INC,400018,18.143717,-66.2628471,92.9,57.9,0.6232508073196985,6.0,5.6,0.9333333333333332
Menorah Medical Center,MENORAH MEDICAL CENTER,170182,38.9107942,-94.65136869999999,190.0,119.0,0.6263157894736842,16.0,16.0,1.0
Mercer County Joint Township Community Hospital,MERCER COUNTY JOINT TOWNSHIP COMMUNITY HOSPITAL,360058,40.48080059999999,-84.6394105,28.0,18.9,0.6749999999999999,5.0,4.6,0.9199999999999999
Mercy Catholic Medical Center- Mercy Fitzgerald,MERCY CATHOLIC MEDICAL CENTER- MERCY FITZGERALD,390156,39.92680379999999,-75.26941649999999,116.6,116.9,1.0025728987993139,11.4,10.9,0.956140350877193
Mercy General Hospital,MERCY GENERAL HOSPITAL,050017,38.5698617,-121.453748,250.7,214.6,0.856003191065018,34.6,26.0,0.7514450867052023
Mercy Gilbert Medical Center,MERCY GILBERT MEDICAL CENTER,030119,33.2871651,-111.7522435,252.9,243.7,0.9636219849742981,23.4,21.6,0.9230769230769232
Mercy Harvard Hospital,MERCY HARVARD HOSPITAL,141335,42.4263413,-88.6070179,13.0,4.1,0.3153846153846154,0.0,0.0,0.0
Mercy Health – Clermont Hospital,MERCY HEALTH - CLERMONT HOSPITAL,360236,39.0799246,-84.1446679,111.9,102.7,0.9177837354781054,19.9,16.7,0.8391959798994975
Mercy Health – Defiance Hospital,MERCY HEALTH - DEFIANCE HOSPITAL,360270,41.2843919,-84.33944,17.3,12.0,0.6936416184971098,4.9,4.9,1.0
Mercy Health – Fairfield Hospital,MERCY HEALTH - FAIRFIELD HOSPITAL,360056,39.3126283,-84.5173035,198.6,165.9,0.8353474320241693,42.3,37.7,0.8912529550827425
Mercy Health – Springfield Regional Medical Center,MERCY HEALTH - SPRINGFIELD REGIONAL MEDICAL CENTER,360086,39.9286179,-83.81630799999999,256.3,227.9,0.889192352711666,46.3,32.1,0.6933045356371491
Mercy Health – St. Charles Hospital,MERCY HEALTH - ST CHARLES HOSPITAL,360081,41.6354496,-83.4841539,213.9,138.3,0.6465638148667602,22.1,11.7,0.5294117647058822
Mercy Health – Tiffin Hospital,MERCY HEALTH - TIFFIN HOSPITAL,360089,41.1037988,-83.2164181,47.0,25.4,0.5404255319148936,5.0,4.1,0.82
Mercy Health – Urbana Hospital,MERCY HEALTH - URBANA HOSPITAL,361312,40.1081147,-83.7298752,16.0,12.6,0.7875,0.0,0.0,0.0
Mercy Health – West Hospital,MERCY HEALTH - WEST HOSPITAL,360234,39.1802011,-84.5968153,212.3,165.6,0.7800282618935468,26.7,12.1,0.45318352059925093
Mercy Health – Willard Hospital,MERCY HEALTH - WILLARD HOSPITAL,361310,41.0393507,-82.7096244,19.7,6.3,0.3197969543147208,0.0,0.0,0.0
Mercy Health Lakeshore Campus,MERCY HEALTH LAKESHORE CAMPUS,231320,43.6067553,-86.3643852,10.0,5.4,0.54,0.0,0.0,0.0
Mercy Health Love County,MERCY HEALTH LOVE COUNTY,371306,33.942914,-97.1306377,25.0,8.9,0.35600000000000004,0.0,0.0,0.0
Mercy Health Muskegon,MERCY HEALTH MUSKEGON,230066,43.2221106,-86.2429123,354.0,298.1,0.842090395480226,34.9,34.7,0.9942693409742122
Mercy Health St. Vincent Medical Center,MERCY HEALTH ST VINCENT MEDICAL CENTER,360112,41.668598,-83.5429355,343.6,202.0,0.5878928987194412,133.1,54.9,0.4124718256949662
Mercy Health System Corp,MERCY HEALTH SYSTEM CORP,520066,42.6878014,-89.0334048,103.7,97.7,0.9421407907425265,15.0,12.4,0.8266666666666667
Mercy Health-Allen Hospital,MERCY HEALTH-ALLEN HOSPITAL,361306,41.2953503,-82.2247958,17.3,7.6,0.43930635838150284,0.0,0.0,0.0
Mercy Health-Anderson Hospital,MERCY HEALTH-ANDERSON HOSPITAL,360001,39.0856971,-84.348906,151.4,151.4,1.0,14.6,13.0,0.8904109589041096
Mercy Health-Lorain Hospital,MERCY HEALTH-LORAIN HOSPITAL,360172,41.4359394,-82.2372774,174.0,149.3,0.8580459770114943,23.0,11.9,0.5173913043478261
Mercy Health-St. Rita’s Medical Center,MERCY HEALTH-ST RITA'S MEDICAL CENTER,360066,40.7411999,-84.11811469999999,341.7,206.9,0.6055019022534387,85.9,28.7,0.33410942956926654
Mercy Hospital,MERCY HOSPITAL,050295,35.3727847,-119.0276426,177.3,144.6,0.8155668358714043,28.0,18.7,0.6678571428571428
Plantation General Hospital,MERCY HOSPITAL,100167,26.1264969,-80.2053767,369.0,264.7,0.7173441734417344,31.0,22.4,0.7225806451612903
Mercy Hospital,MERCY HOSPITAL,160029,41.6641482,-91.5285792,105.0,85.3,0.8123809523809523,8.0,7.0,0.875
Mercy Hospital,MERCY HOSPITAL,240115,45.1848708,-93.370958,391.4,368.4,0.9412365866121615,22.1,22.1,1.0
Mercy Hospital Ada,MERCY HOSPITAL ADA,370020,34.7775284,-96.6347179,111.9,66.9,0.5978552278820376,12.0,10.6,0.8833333333333333
Mercy Hospital Ardmore,"MERCY HOSPITAL ARDMORE, INC",370047,34.1890078,-97.14090120000002,140.7,108.9,0.7739872068230278,13.0,9.7,0.7461538461538461
Mercy Hospital Aurora,MERCY HOSPITAL AURORA,261316,36.9697766,-93.7099726,23.3,13.3,0.5708154506437768,0.0,0.0,0.0
Mercy Hospital Berryville,MERCY HOSPITAL BERRYVILLE,041329,36.3589699,-93.5516979,22.0,5.1,0.2318181818181818,0.0,0.0,0.0
Mercy Hospital Booneville,MERCY HOSPITAL BOONEVILLE,041318,35.140403,-93.934857,25.0,10.0,0.4,0.0,0.0,0.0
Mercy Hospital Carthage,MERCY HOSPITAL CARTHAGE,261338,37.1360895,-94.3211843,28.0,18.6,0.6642857142857144,0.0,0.0,0.0
Mercy Hospital Cassville,MERCY HOSPITAL CASSVILLE,261317,36.6746656,-93.8722913,18.0,4.3,0.23888888888888887,0.0,0.0,0.0
Mercy Hospital Columbus,MERCY HOSPITAL COLUMBUS,171308,37.1725395,-94.84311129999999,17.0,0.0,0.0,0.0,0.0,0.0
Mercy Hospital Fort Smith,MERCY HOSPITAL FORT SMITH,040062,35.3565026,-94.3531812,243.3,221.9,0.9120427455815865,53.0,35.6,0.6716981132075472
Mercy Hospital Healdton,"MERCY HOSPITAL HEALDTON, INC.",371310,34.2228594,-97.49147959999999,18.9,8.7,0.4603174603174603,0.0,0.0,0.0
Mercy Hospital Jefferson,MERCY HOSPITAL JEFFERSON,260023,38.1966882,-90.3938562,209.6,178.3,0.8506679389312978,12.0,10.7,0.8916666666666666
Mercy Hospital Joplin,MERCY HOSPITAL JOPLIN,260001,37.0363859,-94.5095979,194.0,183.0,0.9432989690721649,36.0,21.1,0.5861111111111111
Mercy Hospital Kingfisher,"MERCY HOSPITAL KINGFISHER, INC",371313,35.810177,-97.944842,20.0,8.7,0.43499999999999994,0.0,0.0,0.0
Mercy Hospital Lebanon,MERCY HOSPITAL LEBANON,260059,37.6815995,-92.6342741,52.1,18.6,0.35700575815738966,13.0,4.6,0.3538461538461538
Mercy Hospital Lincoln,MERCY HOSPITAL LINCOLN,261319,38.9832422,-90.9633054,22.6,10.0,0.44247787610619466,4.0,0.0,0.0
Mercy Hospital Logan County,"MERCY HOSPITAL LOGAN COUNTY, INC",371317,35.876165,-97.4617401,23.0,11.3,0.491304347826087,0.0,0.0,0.0
Mercy Hospital Northwest Arkansas,MERCY HOSPITAL NORTHWEST ARKANSAS,040010,36.3099923,-94.1840167,211.7,194.3,0.9178082191780823,37.0,35.7,0.9648648648648649
Mercy Hospital of Buffalo,MERCY HOSPITAL OF BUFFALO,330279,42.8477462,-78.81313329999999,225.0,201.1,0.8937777777777778,20.0,25.4,1.27
Mercy Hospital of Folsom,MERCY HOSPITAL OF FOLSOM,050414,38.670333,-121.1458461,93.9,92.1,0.9808306709265174,8.4,8.4,1.0
"Mercy Hospital Oklahoma City, Inc.","MERCY HOSPITAL OKLAHOMA CITY, INC",370013,35.6071728,-97.6005972,266.0,266.0,1.0,36.0,33.0,0.9166666666666666
Mercy Hospital South,MERCY HOSPITAL SOUTH,260077,38.5062584,-90.3811704,548.6,455.1,0.8295661684287277,71.6,71.1,0.9930167597765364
Mercy Hospital Springfield,MERCY HOSPITAL SPRINGFIELD,260065,37.1792234,-93.2740805,607.9,522.7,0.859845369304162,136.0,122.1,0.8977941176470587
Mercy Hospital St. Louis,MERCY HOSPITAL ST LOUIS,260020,38.6443638,-90.4466944,758.3,589.1,0.7768693129368325,115.7,103.0,0.8902333621434745
Mercy Hospital Tishomingo,MERCY HOSPITAL TISHOMINGO,371304,34.2226429,-96.67482040000002,12.0,6.0,0.5,0.0,0.0,0.0
Mercy Hospital Turner Memorial,MERCY HOSPITAL TURNER MEMORIAL,041303,35.4856914,-93.8334873,15.0,8.7,0.58,0.0,0.0,0.0
Mercy Hospital Waldron,MERCY HOSPITAL WALDRON,041305,34.894277,-94.1062896,17.0,8.0,0.47058823529411764,0.0,0.0,0.0
Mercy Hospital Washington,MERCY HOSPITAL WASHINGTON,260052,38.5519883,-91.00029359999999,132.7,87.0,0.6556141672946496,19.0,13.3,0.7000000000000001
Mercy Hospital Watonga,"MERCY HOSPITAL WATONGA, INC",371302,35.8495256,-98.4187651,4.3,4.3,1.0,0.0,0.0,0.0
Mercy Hospital,"MERCY HOSPITAL, INC",170075,38.205397,-97.5168558,12.0,5.7,0.47500000000000003,0.0,0.0,0.0
Mercy Medical Center,MERCY MEDICAL CENTER,050444,37.3401411,-120.4671866,186.0,163.6,0.8795698924731182,20.0,18.9,0.945
Mercy Medical Center,MERCY MEDICAL CENTER,330259,40.6859597,-73.6334305,261.3,177.1,0.677765021048603,29.0,11.6,0.39999999999999997
Mercy Medical Center,MERCY MEDICAL CENTER,360070,40.8121341,-81.3962689,263.0,226.6,0.8615969581749049,52.0,35.3,0.6788461538461538
Mercy Medical Center,MERCY MEDICAL CENTER,380027,43.2416862,-123.3668392,129.0,108.0,0.8372093023255814,16.0,13.1,0.81875
Mercy Medical Center – Cedar Rapids,MERCY MEDICAL CENTER - CEDAR RAPIDS,160079,41.9789126,-91.6548072,149.9,144.7,0.9653102068045363,12.4,12.4,1.0
Mercy Medical Center ,MERCY MEDICAL CENTER INC,210008,39.292837,-76.61324599999999,162.0,119.3,0.7364197530864197,13.0,8.7,0.6692307692307692
Mercy Medical Center Mt. Shasta,MERCY MEDICAL CENTER MT SHASTA,051319,41.3187005,-122.3209208,26.1,7.7,0.2950191570881226,4.0,0.0,0.0
Mercy Medical Center Redding,MERCY MEDICAL CENTER REDDING,050280,40.5719533,-122.3952328,238.9,205.6,0.8606111343658434,33.0,26.0,0.7878787878787878
Mercy Medical Center,MERCY MEDICAL CTR,220066,42.1160398,-72.5922959,175.0,109.9,0.628,16.0,5.7,0.35625
Mercy Regional Medical Center,MERCY REGIONAL MEDICAL CENTER,060013,37.2361018,-107.8255618,84.0,65.3,0.7773809523809524,18.0,14.0,0.7777777777777778
Mercy Regional Medical Center,MERCY REGIONAL MEDICAL CENTER,190167,30.6824069,-92.2663427,41.7,38.1,0.9136690647482014,4.0,4.0,1.0
Mercy San Juan Medical Center,MERCY SAN JUAN MEDICAL CENTER,050516,38.6693012,-121.3130564,297.6,278.3,0.9351478494623655,53.4,48.4,0.9063670411985019
Mercy Specialty Hospital Southeast Kansas,MERCY SPECIALTY HOSPITAL SOUTHEAST KANSAS,170203,37.077602,-94.62238819999999,5.1,5.1,1.0,0.0,0.0,0.0
Mercy St. Anne Hospital,MERCY ST ANNE HOSPITAL,360262,41.6935557,-83.6257808,122.7,67.1,0.5468622656886715,32.1,11.1,0.34579439252336447
Mercy St. Francis Hospital,MERCY ST FRANCIS HOSPITAL,261335,37.002441,-91.70299659999999,12.9,4.4,0.34108527131782945,0.0,0.0,0.0
Mercy Walworth Hospital & Medical Center,MERCY WALWORTH HOSPITAL & MEDICAL CENTER,521357,42.5981917,-88.5397642,18.0,9.9,0.55,0.0,0.0,0.0
Mercyhealth Hospital Rockton Avenue,MERCYHEALTH HOSPITAL ROCKTON AVENUE,140239,42.2983388,-89.09940639999999,150.0,115.1,0.7673333333333333,34.0,26.9,0.7911764705882353
MercyOne Cedar Falls Medical Center,MERCYONE CEDAR FALLS MEDICAL CENTER,160040,42.5336466,-92.4580897,50.0,13.9,0.278,5.0,0.0,0.0
MercyOne Centerville Medical Center,MERCYONE CENTERVILLE MEDICAL CENTER,161377,40.7555228,-92.8568047,10.1,10.1,1.0,0.0,0.0,0.0
MercyOne Clinton Medical Center,MERCYONE CLINTON MEDICAL CENTER,160080,41.861474,-90.1890143,114.0,32.9,0.2885964912280702,7.7,6.7,0.8701298701298701
MercyOne Des Moines Medical Center,MERCYONE DES MOINES MEDICAL CENTER,160083,41.5986713,-93.6228884,516.4,392.6,0.7602633617350891,53.0,52.7,0.9943396226415094
MercyOne Dubuque Medical Center,MERCYONE DUBUQUE MEDICAL CENTER,160069,42.492721,-90.6750809,154.0,106.7,0.6928571428571428,6.3,4.6,0.7301587301587301
MercyOne Dyersville Medical Center,MERCYONE DYERSVILLE MEDICAL CENTER,161378,42.4756465,-91.1306548,4.1,4.0,0.9756097560975611,0.0,0.0,0.0
MercyOne Elkader Medical Center,MERCYONE ELKADER MEDICAL CENTER,161319,42.8600074,-91.415252,10.0,5.3,0.53,0.0,0.0,0.0
MercyOne New Hampton Medical Center,MERCYONE NEW HAMPTON MEDICAL CENTER,161331,43.0628207,-92.3218737,10.0,8.3,0.8300000000000001,0.0,0.0,0.0
MercyOne Newton Medical Center,MERCYONE NEWTON MEDICAL CENTER,160032,41.7034206,-93.0509917,24.3,10.6,0.4362139917695473,0.0,0.0,0.0
MercyOne North Iowa Medical Center,MERCYONE NORTH IOWA MEDICAL CENTER,160064,43.1485571,-93.21607,177.0,130.1,0.7350282485875705,18.1,16.6,0.9171270718232044
MercyOne Oakland Medical Center,MERCYONE OAKLAND MEDICAL CENTER,281321,41.8345524,-96.46094939999999,6.4,0.0,0.0,0.0,0.0,0.0
MercyOne Oelwein Medical Center,MERCYONE OELWEIN MEDICAL CENTER,161338,42.675448,-91.9022154,19.0,4.3,0.2263157894736842,0.0,0.0,0.0
MercyOne Primghar Medical Center,MERCYONE PRIMGHAR MEDICAL CENTER,161300,43.0887574,-95.6235351,10.0,0.0,0.0,0.0,0.0,0.0
MercyOne Siouxland Medical Center,MERCYONE SIOUXLAND MEDICAL CENTER,160153,42.4956386,-96.4009146,223.0,137.9,0.6183856502242153,36.0,11.1,0.30833333333333335
MercyOne Waterloo Medical Center,MERCYONE WATERLOO MEDICAL CENTER,160067,42.4614133,-92.3462029,189.0,103.9,0.5497354497354497,12.0,9.9,0.8250000000000001
Merit Health Biloxi,MERIT HEALTH BILOXI,250007,30.3958649,-88.8896523,54.6,49.4,0.9047619047619048,12.9,12.7,0.9844961240310077
Merit Health Central,MERIT HEALTH CENTRAL,250072,32.2876401,-90.2545231,185.9,149.7,0.8052716514254975,24.0,22.6,0.9416666666666668
Merit Health Madison,MERIT HEALTH MADISON,250038,32.5813235,-90.08307429999999,25.0,21.3,0.852,7.0,6.4,0.9142857142857144
Merit Health Natchez,MERIT HEALTH NATCHEZ,250084,31.5279831,-91.3884516,52.3,52.0,0.994263862332696,5.3,5.3,1.0
Merit Health Rankin,MERIT HEALTH RANKIN,250096,32.286473,-90.03484069999999,45.1,45.1,1.0,6.4,6.4,1.0
Merit Health River Oaks,MERIT HEALTH RIVER OAKS,250138,32.3254871,-90.10530849999999,54.9,46.1,0.8397085610200364,10.0,9.6,0.96
Merit Health River Region,MERIT HEALTH RIVER REGION,250031,32.3744933,-90.82479359999999,80.0,59.4,0.7424999999999999,24.0,18.6,0.775
Merit Health Wesley,MERIT HEALTH WESLEY,250094,31.3257347,-89.36730879999999,96.4,95.6,0.9917012448132779,21.0,19.4,0.9238095238095237
Merit Health Women’s Hospital,MERIT HEALTH WOMEN'S HOSPITAL,250136,32.325801,-90.1066882,75.0,11.4,0.152,0.0,0.0,0.0
